iter	Passed	Remaining
408	4868	7035
409	4881	7024
410	4893	7013
411	4908	7005
412	4920	6993
413	4935	6985
414	4948	6976
415	4963	6967
416	4976	6957
417	4990	6948
418	5005	6940
419	5018	6930
420	5035	6925
421	5050	6917
422	5068	6913
423	5086	6909
424	5103	6904
425	5118	6897
426	5130	6885
427	5142	6872
428	5162	6870
429	5175	6860
430	5189	6851
431	5205	6844
432	5218	6834
433	5232	6823
434	5247	6815
435	5261	6806
436	5274	6795
437	5287	6784
438	5302	6776
439	5316	6765
440	5329	6755
441	5344	6746
442	5356	6735
443	5371	6726
444	5384	6715
445	5424	6738
446	5445	6736
447	5458	6725
448	5470	6713
449	5486	6705
450	5497	6692
451	5510	6680
452	5525	6671
453	5537	6659
454	5549	6647
455	5564	6637
456	5575	6624
457	5588	6613
458	5602	6602
459	5615	6592
460	5627	6579
461	5638	6566
462	5653	6557
463	5666	6545
464	5679	6534
465	5692	6523
466	5705	6512
467	5717	6499
468	5730	6488
469	5743	6476
470	5756	6465
471	5768	6453
472	5783	6444
473	5797	6433
474	5811	6423
475	5826	6414
476	5840	6403
477	5852	6391
478	5865	6380
479	5883	6374
480	5896	6362
481	5908	6350
482	5922	6339
483	5934	6327
484	5946	6314
485	5962	6305
486	5976	6295
487	5988	6282
488	6003	6273
489	6016	6262
490	6029	6250
491	6043	6239
492	6057	6229
493	6070	6217
494	6082	6205
495	6097	6195
496	6108	6182
497	6122	6171
498	6137	6162
499	6150	6150
500	6162	6138
501	6187	6138
502	6203	6129
503	6224	6125
504	6236	6113
505	6251	6103
506	6271	6098
507	6286	6088
508	6312	6089
509	6334	6085
510	6349	6076
511	6367	6068
512	6380	6057
513	6402	6053
514	6415	6041
515	6431	6032
516	6446	6022
517	6459	6010
518	6476	6002
519	6490	5991
520	6512	5987
521	6528	5978
522	6551	5975
523	6571	5969
524	6590	5962
525	6603	5951
526	6615	5938
527	6628	5925
528	6640	5912
529	6651	5898
530	6663	5885
531	6674	5871
532	6686	5858
533	6698	5845
534	6732	5851
535	6753	5846
536	6765	5832
537	6780	5822
538	6794	5811
539	6809	5800
540	6822	5788
541	6835	5776
542	6847	5763
543	6859	5750
544	6871	5737
545	6882	5723
546	6894	5710
547	6906	5696
548	6920	5684
549	6932	5672
550	6945	5659
551	6957	5646
552	6986	5647
553	7000	5635
554	7017	5626
555	7031	5614
556	7044	5602
557	7060	5592
558	7074	5581
559	7091	5571
560	7108	5562
561	7126	5554
562	7145	5546
563	7164	5538
564	7179	5527
565	7196	5517
566	7215	5509
567	7232	5500
568	7249	5490
569	7263	5479
570	7283	5472
571	7298	5461
572	7317	5453
573	7332	5441
574	7347	5430
575	7363	5420
576	7377	5408
577	7392	5397
578	7409	5387
579	7423	5375
580	7439	5364
581	7456	5355
582	7471	5344
583	7486	5332
584	7501	5321
585	7515	5309
586	7529	5297
587	7544	5286
588	7559	5275
589	7572	5262
590	7588	5251
591	7602	5239
592	7614	5226
593	7629	5214
594	7641	5201
595	7656	5190
596	7674	5180
597	7686	5167
598	7700	5154
599	7715	5143
600	7728	5130
601	7745	5120
602	7762	5110
603	7776	5098
604	7789	5085
605	7804	5074
606	7818	5062
607	7834	5050
608	7850	5040
609	7862	5026
610	7875	5013
611	7889	5001
612	7902	4988
613	7914	4975
614	7930	4964
615	7943	4951
616	7955	4938
617	7969	4926
618	7982	4913
619	7994	4900
620	8013	4890
621	8027	4878
622	8041	4866
623	8056	4854
624	8069	4841
625	8083	4829
626	8099	4818
627	8115	4807
628	8130	4795
629	8146	4784
630	8161	4772
631	8178	4761
632	8195	4751
633	8209	4739
634	8225	4727
635	8241	4716
636	8257	4705
637	8272	4693
638	8286	4681
639	8305	4672
640	8326	4663
641	8343	4652
642	8361	4642
643	8376	4630
644	8394	4620
645	8409	4608
646	8424	4596
647	8441	4585
648	8456	4573
649	8469	4560
650	8485	4548
651	8499	4536
652	8513	4524
653	8530	4512
654	8545	4501
655	8560	4488
656	8575	4476
657	8590	4465
658	8605	4452
659	8620	4441
660	8635	4428
661	8650	4416
662	8663	4403
663	8677	4391
664	8692	4379
665	8707	4366
666	8722	4354
667	8738	4343
668	8752	4330
669	8767	4318
670	8782	4305
671	8795	4293
672	8809	4280
673	8823	4267
674	8839	4255
675	8853	4243
676	8870	4232
677	8885	4219
678	8897	4206
679	8912	4194
680	8925	4180
681	8938	4167
682	8951	4154
683	8966	4142
684	8978	4128
685	8992	4116
686	9005	4103
687	9019	4090
688	9033	4077
689	9048	4065
690	9062	4052
691	9077	4040
692	9092	4027
693	9106	4015
694	9120	4002
695	9136	3990
696	9149	3977
697	9161	3964
698	9176	3951
699	9190	3938
700	9203	3925
701	9220	3914
702	9235	3901
703	9249	3888
704	9263	3876
705	9279	3864
706	9291	3850
707	9307	3838
708	9320	3825
709	9335	3813
710	9354	3802
711	9367	3788
712	9380	3775
713	9396	3763
714	9411	3751
715	9426	3739
716	9442	3726
717	9458	3714
718	9475	3703
719	9489	3690
720	9505	3678
721	9521	3666
722	9536	3653
723	9550	3640
724	9567	3629
725	9583	3617
726	9597	3603
727	9614	3592
728	9628	3579
729	9643	3566
730	9660	3554
731	9673	3541
732	9687	3528
733	9702	3516
734	9716	3503
735	9730	3490
736	9746	3478
737	9761	3465
738	9775	3452
739	9792	3440
740	9810	3429
741	9834	3419
742	9850	3407
743	9863	3393
744	9879	3381
745	9892	3368
746	9912	3357
747	9928	3344
748	9941	3331
749	9957	3319
750	9970	3305
751	9985	3292
752	10001	3280
753	10016	3267
754	10029	3254
755	10044	3241
756	10057	3228
757	10068	3214
758	10085	3202
759	10097	3188
760	10110	3175
761	10123	3161
762	10140	3149
